Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,head_pitch_joint_dof,head_yaw_joint_dof,telescopic_lift_joint_dof,right_joint1_dof,right_joint2_dof,right_joint3_dof,right_joint4_dof,right_joint5_dof,right_joint6_dof,right_joint7_dof,right_gripper_joint1_dof,right_gripper_joint2_dof,left_joint1_dof,left_joint2_dof,left_joint3_dof,left_joint4_dof,left_joint5_dof,left_joint6_dof,left_joint7_dof,left_gripper_joint1_dof,left_gripper_joint2_dof
0,0.2321719229221344,0.31138402223587036,94.24848937988281,0.2900660784211887,-31.900474417318854,-89.91680974401521,-1.2631662,-5.538896,29.908205,0.0,0.0,77.30924228286743,-6.6531825,67.06579,68.06711,16.197512,-84.44254,1.674429,0.020954968,0.0,0.0,10.603698,68.603874,-73.08785,25.342525,-70.69865,1.7365774,0.008790348,0.0,0.0
1,0.34456080198287964,0.563593327999115,94.18681335449219,0.2541114965077206,-32.05017648244142,-89.55507766190665,-1.6702852,-5.5278835,29.753914,0.0,0.0,77.28827932929993,-6.7334747,67.03644,68.05157,16.057838,-84.32024,1.6872623,0.030779783,0.0,0.0,10.367348,69.21278,-73.212456,24.8702,-70.51968,1.7949866,-0.00051298155,0.0,0.0
2,0.49514225125312805,0.7618348002433777,94.14366149902344,0.3201097833353942,-32.259669699060694,-89.2873430737651,-1.8583165,-5.5889187,29.591473,0.0,0.0,77.27762797927856,-6.8666563,67.18191,68.155785,15.609223,-84.92771,1.730982,0.026436193,0.0,0.0,10.125009,69.58473,-73.060776,24.276844,-70.45705,1.8477535,-0.015046674,0.0,0.0
3,0.6594040989875793,0.9439559578895569,94.07656860351562,0.46250803113078864,-32.21752565122992,-88.9629651497532,-1.9474083,-5.926157,28.842836,0.0,0.0,77.24180558776855,-7.3036513,67.61385,68.72259,15.125023,-86.27219,1.7728972,0.0026699423,0.0,0.0,10.222792,69.67627,-73.120026,23.723843,-70.5735,1.8818899,-0.014798711,0.0,0.0
4,0.8541035652160645,1.0719484090805054,94.10115814208984,0.6066682445722311,-32.30958672783198,-88.56526423453542,-2.004252,-6.3299494,28.233877,0.0,0.0,77.29939559555054,-7.5926557,68.57471,70.4681,14.391249,-87.03308,1.8458267,-0.045485992,0.0,0.0,10.267132,69.76264,-72.94302,23.215374,-69.801796,1.93318,0.0073573156,0.0,0.0
5,1.038782000541687,1.0680304765701294,94.09410858154297,0.967394006796207,-32.22002156089987,-87.87373373403112,-2.110538,-7.0376205,26.780062,0.0,0.0,77.31762269592285,-8.422552,69.591484,72.04213,13.847182,-87.927574,1.8996838,-0.08183361,0.0,0.0,10.673619,69.95716,-73.28045,22.624996,-69.17961,2.0192344,0.026813306,0.0,0.0
6,1.241377353668213,0.9765253663063049,94.06033325195312,1.2308911188480465,-32.408481002361505,-87.1427061998775,-2.0764513,-7.629547,25.70534,0.0,0.0,77.2878084526062,-9.058296,70.52505,73.04043,13.4294195,-88.96352,1.950567,-0.09080638,0.0,0.0,11.157972,70.168236,-74.1069,22.190168,-69.17569,2.0719934,0.03714426,0.0,0.0
7,1.4681237936019897,0.8538596630096436,94.01390075683594,1.3231976940290808,-32.64840606930997,-86.40929014805681,-2.0644403,-7.9684534,24.949423,0.0,0.0,77.23726371383667,-9.350423,70.965965,74.11331,13.285883,-90.09674,1.9783326,-0.088547036,0.0,0.0,11.603886,70.45144,-74.88037,21.81442,-69.60767,2.090664,0.030967902,0.0,0.0
8,1.6722878217697144,0.7405778169631958,93.94564056396484,1.2858722340164317,-33.05000540733037,-85.92573211993935,-1.757162,-7.9425764,24.450577,0.0,0.0,77.1622095451355,-9.356213,70.88322,74.54988,13.2721195,-89.96722,1.973264,-0.10810672,0.0,0.0,11.856083,70.88968,-74.96901,21.403183,-69.607346,2.140988,0.038625874,0.0,0.0
9,1.8497394323349,0.6731460094451904,93.8889389038086,1.4842973753529793,-33.3099052793647,-85.26723624746606,-1.401114,-8.110751,24.046337,0.0,0.0,77.0850394115448,-9.385617,70.33203,78.26761,14.012909,-90.43895,1.9090166,-0.14972164,0.0,0.0,11.909287,71.25927,-74.919975,20.950924,-69.33756,2.1859565,0.06737105,0.0,0.0
10,2.0517590045928955,0.6564252376556396,93.86766815185547,1.5556891358729021,-33.59361871777802,-84.54091498452328,-0.9084565,-8.233041,24.275509,0.0,0.0,77.02406982040405,-8.783355,68.78878,81.729416,15.62266,-91.060646,1.769817,-0.19294778,0.0,0.0,11.727766,71.32164,-74.40959,20.801561,-69.3922,2.2135856,0.092983045,0.0,0.0
11,2.286231756210327,0.7118045687675476,93.83702850341797,1.6904501218784622,-33.71525791712084,-83.68708527881525,-0.443733,-8.558938,24.88732,0.0,0.0,76.95435026741028,-7.6434364,65.94535,84.93847,18.339571,-91.96701,1.5538863,-0.23837323,0.0,0.0,11.261528,71.28597,-73.68837,20.807552,-69.53829,2.2181203,0.1075967,0.0,0.0
12,2.52062726020813,0.848707377910614,93.87875366210938,1.7738823861318487,-33.57046983491646,-83.03249381428368,0.22014204,-8.747198,25.466152,0.0,0.0,76.94782355880737,-6.243173,61.775383,88.75204,21.966795,-91.87333,1.2581391,-0.2853413,0.0,0.0,10.737464,71.455055,-73.21336,21.057564,-69.15913,2.1927073,0.11317629,0.0,0.0
13,2.7783219814300537,1.0726492404937744,93.91215515136719,2.108771197957338,-33.33556284254463,-82.71704250672369,1.3835303,-8.917556,25.99781,0.0,0.0,76.92495921707153,-4.4824944,56.677933,93.48049,25.994024,-91.54061,1.0047638,-0.35929894,0.0,0.0,10.175645,71.519806,-72.54732,21.521248,-68.44976,2.1595953,0.11933774,0.0,0.0
14,3.041901111602783,1.3267196416854858,93.90817260742188,2.3723877355807264,-33.11731985044366,-82.41699729144185,2.6735194,-8.995642,26.747515,0.0,0.0,76.86230281448364,-2.0371768,51.013977,97.936264,29.939363,-90.847084,0.77401984,-0.45419982,0.0,0.0,9.5438595,71.585846,-72.442154,22.100447,-67.51849,2.1225784,0.14137806,0.0,0.0
15,3.3204500675201416,1.6191885471343994,93.87858581542969,2.5862951498559603,-32.639045580615495,-82.25177673264382,3.9422052,-8.98405,27.320086,0.0,0.0,76.79913977241516,1.2297724,44.995472,101.16293,33.46764,-90.68452,0.60106355,-0.5600968,0.0,0.0,8.991655,71.75656,-73.07327,22.582308,-66.24226,2.0945075,0.17022783,0.0,0.0
16,3.562744617462158,1.9363477230072021,94.02118682861328,2.5139306637500667,-32.5250163207818,-81.97154465516664,4.885149,-8.925641,28.300465,0.0,0.0,76.88596585845947,5.6520996,39.637592,103.51596,36.867325,-90.44532,0.46899027,-0.63425577,0.0,0.0,8.696729,71.96024,-74.38137,23.191605,-64.29556,2.0339048,0.18403795,0.0,0.0
17,3.671171188354492,2.2455215454101562,94.10107421875,2.83077274360396,-32.097095913106976,-82.30724973545213,6.0908036,-9.015854,28.716473,0.0,0.0,76.92290881729126,10.936698,35.14426,104.27971,40.16524,-91.30938,0.43806738,-0.69867265,0.0,0.0,8.677425,71.89751,-76.00447,23.987068,-62.941803,1.9633291,0.19139132,0.0,0.0
18,3.7025344371795654,2.545436382293701,94.13070678710938,3.0481335802451466,-31.683404121300388,-82.57483361985867,7.1464195,-9.10191,28.946,0.0,0.0,76.91746095275879,16.72481,31.559885,103.59549,43.67022,-93.07261,0.41358668,-0.77158195,0.0,0.0,8.7319565,71.8505,-77.808556,24.50624,-62.1211,1.905266,0.19065237,0.0,0.0
19,3.67089581489563,2.8545665740966797,94.1306381225586,2.9290867637014903,-31.067234119372735,-82.77171523132068,8.093714,-8.901039,28.906015,0.0,0.0,76.9187841758728,22.762686,28.715578,101.554016,47.199657,-94.5834,0.37236065,-0.82393813,0.0,0.0,8.740227,71.89818,-79.498924,24.788015,-61.529114,1.8683839,0.17440929,0.0,0.0
